Shimmer_B640_Timestamp_Unix_CAL,Shimmer_B640_Accel_LN_X_CAL,Shimmer_B640_Accel_LN_Y_CAL,Shimmer_B640_Accel_LN_Z_CAL,Shimmer_B640_GSR_CAL,Shimmer_B640_PPGToHR_PPG_A13_CAL,Shimmer_B640_PPG_A13_CAL
ms,m/(s^2),m/(s^2),m/(s^2),kOhms,BPM,mV
1.43507E+12,6.120481928,-0.204819277,7.722891566,1258.179741,-1,1158.974359
1.43507E+12,6.144578313,-0.228915663,7.746987952,1258.901694,-1,1159.70696
1.43507E+12,6.13253012,-0.253012048,7.746987952,1258.901694,-1,1158.974359
1.43507E+12,6.156626506,-0.240963855,7.746987952,1258.901694,-1,1159.70696
1.43507E+12,6.156626506,-0.253012048,7.746987952,1258.901694,-1,1159.70696
1.43507E+12,6.156626506,-0.204819277,7.746987952,1258.179741,-1,1158.241758
1.43507E+12,6.156626506,-0.192771084,7.722891566,1258.901694,-1,1156.776557
1.43507E+12,6.156626506,-0.204819277,7.710843373,1258.179741,-1,1153.113553
1.43507E+12,6.144578313,-0.21686747,7.734939759,1258.901694,-1,1150.915751
1.43507E+12,6.144578313,-0.240963855,7.722891566,1258.901694,-1,1151.648352
1.43507E+12,6.144578313,-0.240963855,7.746987952,1258.901694,-1,1153.113553
1.43507E+12,6.144578313,-0.228915663,7.746987952,1258.901694,-1,1158.241758
1.43507E+12,6.156626506,-0.240963855,7.734939759,1258.901694,-1,1168.498168
1.43507E+12,6.180722892,-0.204819277,7.722891566,1258.901694,-1,1181.684982
1.43507E+12,6.180722892,-0.180722892,7.722891566,1258.901694,-1,1198.534799
1.43507E+12,6.192771084,-0.192771084,7.722891566,1258.901694,-1,1221.245421
1.43507E+12,6.192771084,-0.228915663,7.710843373,1259.624476,-1,1250.549451
1.43507E+12,6.156626506,-0.21686747,7.662650602,1259.624476,-1,1287.912088
1.43507E+12,6.108433735,-0.21686747,7.746987952,1259.624476,-1,1334.065934
1.43507E+12,6.120481928,-0.253012048,7.831325301,1258.901694,-1,1389.74359
1.43507E+12,6.192771084,-0.265060241,7.771084337,1258.901694,-1,1451.282051
1.43507E+12,6.144578313,-0.228915663,7.710843373,1258.901694,-1,1517.216117
1.43507E+12,6.108433735,-0.192771084,7.759036145,1259.624476,-1,1583.882784
1.43507E+12,6.108433735,-0.192771084,7.686746988,1258.901694,-1,1652.014652
1.43507E+12,6.180722892,-0.21686747,7.698795181,1259.624476,-1,1718.681319
1.43507E+12,6.204819277,-0.228915663,7.698795181,1258.901694,-1,1781.684982
1.43507E+12,6.156626506,-0.228915663,7.734939759,1259.624476,-1,1834.432234
1.43507E+12,6.120481928,-0.228915663,7.698795181,1259.624476,-1,1879.85348
1.43507E+12,6.13253012,-0.240963855,7.795180723,1259.624476,-1,1910.622711
1.43507E+12,6.192771084,-0.204819277,7.734939759,1259.624476,-1,1933.333333
1.43507E+12,6.180722892,-0.192771084,7.722891566,1259.624476,-1,1945.054945
1.43507E+12,6.156626506,-0.168674699,7.734939759,1258.901694,-1,1950.18315
1.43507E+12,6.168674699,-0.204819277,7.698795181,1259.624476,-1,1949.450549
1.43507E+12,6.156626506,-0.253012048,7.710843373,1258.901694,-1,1941.391941
1.43507E+12,6.168674699,-0.253012048,7.722891566,1258.901694,-1,1931.135531
1.43507E+12,6.120481928,-0.253012048,7.722891566,1258.901694,-1,1917.216117
1.43507E+12,6.084337349,-0.253012048,7.734939759,1259.624476,-1,1898.901099
1.43507E+12,6.13253012,-0.228915663,7.734939759,1259.624476,-1,1878.388278
1.43507E+12,6.192771084,-0.21686747,7.734939759,1259.624476,-1,1856.410256
1.43507E+12,6.21686747,-0.21686747,7.759036145,1258.901694,-1,1830.769231
1.43507E+12,6.180722892,-0.21686747,7.722891566,1259.624476,-1,1801.465201
1.43507E+12,6.13253012,-0.21686747,7.746987952,1259.624476,-1,1771.428571
1.43507E+12,6.096385542,-0.21686747,7.734939759,1259.624476,-1,1742.124542
1.43507E+12,6.096385542,-0.228915663,7.734939759,1259.624476,-1,1714.285714
1.43507E+12,6.120481928,-0.253012048,7.734939759,1259.624476,-1,1687.912088
1.43507E+12,6.156626506,-0.21686747,7.759036145,1259.624476,-1,1665.934066
1.43507E+12,6.204819277,-0.21686747,7.722891566,1258.901694,-1,1649.084249
1.43507E+12,6.204819277,-0.204819277,7.698795181,1259.624476,-1,1632.967033
1.43507E+12,6.192771084,-0.204819277,7.722891566,1259.624476,-1,1620.512821
1.43507E+12,6.21686747,-0.192771084,7.710843373,1259.624476,-1,1611.721612
1.43507E+12,6.192771084,-0.192771084,7.722891566,1259.624476,-1,1606.593407
1.43507E+12,6.168674699,-0.21686747,7.722891566,1259.624476,-1,1602.930403
1.43507E+12,6.120481928,-0.240963855,7.710843373,1260.348088,-1,1599.267399
1.43507E+12,6.108433735,-0.253012048,7.734939759,1260.348088,-1,1594.139194
1.43507E+12,6.13253012,-0.240963855,7.759036145,1260.348088,-1,1591.941392
1.43507E+12,6.144578313,-0.253012048,7.746987952,1259.624476,-1,1587.545788
1.43507E+12,6.13253012,-0.240963855,7.746987952,1259.624476,-1,1583.882784
